frame_id_numeric,problem
10059971,only in miklos
10118720,only in miklos
10118737,only in miklos
10118751,only in miklos
10216251,only in miklos
10220474,only in miklos
10220649,only in miklos
10221121,only in miklos
10221200,only in miklos
10223161,only in miklos
10227299,only in miklos
10229521,only in miklos
10230851,only in miklos
10231113,only in miklos
10231326,only in miklos
10231742,only in miklos
10233823,only in miklos
10234264,only in miklos
10240269,only in miklos
10240630,only in miklos
10244634,only in miklos
10246382,only in miklos
10247792,only in miklos
10252325,only in miklos
10254891,only in miklos
10256714,only in miklos
10259669,only in miklos
10262063,only in miklos
10262960,only in miklos
10271322,only in miklos
10366167,only in miklos
10367481,only in miklos
10373235,only in miklos
10455793,only in miklos
10473768,only in miklos
10499748,only in miklos
10533264,only in miklos
10570731,only in miklos
10574632,only in miklos
10621143,only in miklos
10748176,only in miklos
10750201,only in miklos
10783050,only in miklos
10802322,only in miklos
10847392,only in miklos
10874406,only in miklos
10891999,only in miklos
10929496,only in miklos
10987773,only in miklos
11088004,only in miklos
11474535,only in miklos
11491585,only in miklos
11793801,only in miklos
12039498,only in miklos
12109632,only in miklos
12143003,only in miklos
12310492,only in miklos
12332478,only in miklos
12621730,only in miklos
12674934,only in miklos
13455541,only in miklos
13583842,only in miklos
13638997,only in miklos
13703686,only in miklos
13795847,only in miklos
13799047,only in miklos
13799157,only in miklos
13897255,only in miklos
14220218,only in miklos
21360835,only in miklos
22234663,only in miklos
22796705,only in miklos
23034992,only in miklos
23383636,only in miklos
24693464,only in miklos
24854171,only in miklos
25290071,only in miklos
25295375,only in miklos
25331721,only in miklos
25478563,only in miklos
25481709,only in miklos
25511978,only in miklos
25554142,only in miklos
25586615,only in miklos
25719891,only in miklos
25753956,only in miklos
25762284,only in miklos
25940192,only in miklos
25954858,only in miklos
25973848,only in miklos
25979136,only in miklos
25989757,only in miklos
26160441,only in miklos
10225912,only in almos
10626526,only in almos
12323504,only in almos
10000908,almos inconsistent
10000991,almos inconsistent
10009282,almos inconsistent
10011087,almos inconsistent
10011094,almos inconsistent
10011128,almos inconsistent
10013735,"miklos local, almos expat"
10024278,almos inconsistent
10027295,almos inconsistent
10118775,"miklos local, almos expat"
10146990,"miklos local, almos expat"
10174328,almos inconsistent
10182576,almos inconsistent
10187076,"miklos local, almos expat"
10187502,"miklos local, almos expat"
10192207,"miklos local, almos expat"
10192805,"miklos local, almos expat"
