foreign,foreign_3,foreign_2,foreign_1,foreign0,foreign1,foreign2,foreign3,count,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,when,type
660143,13505,17922,26714,122818,100456,86391,75047,8122237,151035,75330,54102,42482,33985,27923,23339,19628,15908,11840,beginning after interpolating fo3 holes and fo3 expanded,all
12428,1043,1187,1443,1550,1353,1119,944,22557,146,24,12,9,4,3,3,2,2,1,beginning after interpolating fo3 holes and fo3 expanded,analysis sample ever foreign
271063,13505,17326,24516,54627,44009,37466,32416,7580375,141372,71791,52109,41234,33144,27336,22906,19290,15635,11635,greenfield dropped (balance),all
12428,1043,1187,1443,1550,1353,1119,944,22557,146,24,12,9,4,3,3,2,2,1,greenfield dropped (balance),analysis sample ever foreign
39066,1704,2124,3024,6425,4777,3771,3199,479604,3507,1239,836,588,442,262,152,54,34,26,sampling,all
12428,1043,1187,1443,1550,1353,1119,944,22557,146,24,12,9,4,3,3,2,2,1,sampling,analysis sample ever foreign
36716,1626,1956,2615,4252,3759,3337,3009,412996,2966,989,687,449,309,207,120,67,45,34,missing lnK,all
12428,1043,1187,1443,1550,1353,1119,944,22557,162,41,29,21,10,6,5,4,4,2,missing lnK,analysis sample ever foreign
35865,1581,1844,2334,3310,3508,3232,2937,395673,3453,1080,667,429,289,198,124,77,51,33,missing lnQ,all
12428,1043,1187,1443,1550,1353,1119,944,22557,220,61,38,24,12,7,6,4,4,2,missing lnQ,analysis sample ever foreign
34949,1532,1773,2125,2850,3188,3035,2834,367151,4010,1101,612,362,220,149,99,72,50,32,missing lnL,all
12428,1043,1187,1443,1550,1353,1119,944,22557,289,76,44,27,13,7,6,4,4,2,missing lnL,analysis sample ever foreign
34772,1530,1769,2116,2839,3176,3030,2827,364339,4195,1150,626,365,219,148,99,71,49,31,missing lnM,all
12428,1043,1187,1443,1550,1353,1119,944,22557,305,80,46,29,15,9,7,5,4,2,missing lnM,analysis sample ever foreign
31183,1206,1388,1699,2139,2873,2736,2548,307760,3801,1166,669,433,269,178,133,96,68,44,manager merge,all
12430,1043,1187,1443,1550,1353,1119,944,22557,373,122,75,48,30,18,14,11,10,7,manager merge,analysis sample ever foreign
29543,1130,1296,1571,1991,2707,2568,2382,304373,3749,1151,660,430,266,175,131,95,67,43,many foreign changes,all
12430,1043,1187,1443,1550,1353,1119,944,22557,373,122,75,48,30,18,14,11,10,7,many foreign changes,analysis sample ever foreign
12431,1130,1276,1522,1582,1354,1121,947,282172,3413,1045,597,381,233,156,119,87,60,40,"D, D-F kept",all
12430,1043,1187,1443,1550,1353,1119,944,22557,373,122,75,48,30,18,14,11,10,7,"D, D-F kept",analysis sample ever foreign
